index,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Rating
1,Wii Sports,Wii,2006,Sports,Nintendo,76,8,E
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,82,8.3,E
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,80,8,E
4,New Super Mario Bros.,DS,2006,Platform,Nintendo,89,8.5,E
5,Wii Play,Wii,2006,Misc,Nintendo,58,6.6,E
6,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,8.4,E
7,Mario Kart DS,DS,2005,Racing,Nintendo,91,8.6,E
8,Wii Fit,Wii,2007,Sports,Nintendo,80,7.7,E
9,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,6.3,E
10,Wii Fit Plus,Wii,2009,Sports,Nintendo,80,7.4,E
11,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,8.2,M
12,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,9,M
13,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,7.9,E
14,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,8.1,M
15,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,8.7,M
16,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,7.1,E
17,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,8.4,E
18,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,3.4,M
19,Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,6.3,M
20,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,5.3,M
21,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,4.8,M
22,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,6.3,M
23,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,3.2,M
24,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,8.5,M
25,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,8.9,T
26,Mario Kart 7,3DS,2011,Racing,Nintendo,85,8.2,E
27,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,6.4,M
28,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,8.3,M
29,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,8.7,E
30,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,7.8,M
31,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,8.5,E
32,Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,8.9,E
33,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,7.9,M
34,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,8.7,E
35,Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,8.4,E
36,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,7.5,E
37,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,6.3,M
38,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,7.5,M
39,Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,2.6,M
40,Just Dance 3,Wii,2011,Misc,Ubisoft,74,7.8,E10+
41,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,7.2,E
42,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,7.9,M
43,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,9.2,T
